,model,layer,accuracy,experiment
358,alexnet,ReLU-3,1,curv
359,alexnet,ReLU-3,1,curv
360,alexnet,ReLU-4,1,curv
361,alexnet,ReLU-4,1,curv
362,alexnet,ReLU-4,1,curv
363,alexnet,ReLU-4,1,curv
364,alexnet,ReLU-4,1,curv
365,alexnet,ReLU-4,0,curv
366,alexnet,ReLU-4,0,curv
367,alexnet,ReLU-4,1,curv
368,alexnet,ReLU-4,0,curv
369,alexnet,ReLU-4,0,curv
370,alexnet,ReLU-4,1,curv
371,alexnet,ReLU-4,0,curv
372,alexnet,ReLU-4,0,curv
373,alexnet,ReLU-4,0,curv
374,alexnet,ReLU-4,0,curv
375,alexnet,ReLU-4,1,curv
376,alexnet,ReLU-4,0,curv
377,alexnet,ReLU-4,1,curv
378,alexnet,ReLU-4,0,curv
379,alexnet,ReLU-4,0,curv
380,alexnet,ReLU-4,1,curv
381,alexnet,ReLU-4,1,curv
382,alexnet,ReLU-4,1,curv
383,alexnet,ReLU-4,1,curv
384,alexnet,ReLU-4,0,curv
385,alexnet,ReLU-4,1,curv
386,alexnet,ReLU-4,1,curv
387,alexnet,ReLU-4,1,curv
388,alexnet,ReLU-4,1,curv
389,alexnet,ReLU-4,1,curv
390,alexnet,ReLU-4,1,curv
391,alexnet,ReLU-4,1,curv
392,alexnet,ReLU-4,1,curv
393,alexnet,ReLU-4,1,curv
394,alexnet,ReLU-4,0,curv
395,alexnet,ReLU-4,0,curv
396,alexnet,ReLU-4,1,curv
397,alexnet,ReLU-4,1,curv
398,alexnet,ReLU-4,1,curv
399,alexnet,ReLU-4,1,curv
400,alexnet,ReLU-4,1,curv
401,alexnet,ReLU-4,1,curv
402,alexnet,ReLU-4,1,curv
403,alexnet,ReLU-4,1,curv
404,alexnet,ReLU-4,1,curv
405,alexnet,ReLU-4,1,curv
406,alexnet,ReLU-4,0,curv
407,alexnet,ReLU-4,1,curv
408,alexnet,ReLU-4,1,curv
409,alexnet,ReLU-4,1,curv
410,alexnet,ReLU-4,1,curv
411,alexnet,ReLU-4,1,curv
412,alexnet,ReLU-4,1,curv
413,alexnet,ReLU-4,1,curv
