,model,layer,accuracy
227,alexnet,ReLU-2,0.5
228,alexnet,ReLU-2,1.0
229,alexnet,ReLU-2,0.75
230,alexnet,ReLU-2,0.75
231,alexnet,ReLU-2,0.75
232,alexnet,ReLU-2,1.0
233,alexnet,ReLU-2,1.0
234,alexnet,ReLU-2,1.0
235,alexnet,ReLU-2,1.0
236,alexnet,ReLU-2,1.0
237,alexnet,ReLU-2,0.75
238,alexnet,ReLU-2,0.75
239,alexnet,ReLU-2,0.75
240,alexnet,ReLU-3,0.75
241,alexnet,ReLU-3,0.75
242,alexnet,ReLU-3,0.5
243,alexnet,ReLU-3,1.0
244,alexnet,ReLU-3,1.0
245,alexnet,ReLU-3,1.0
246,alexnet,ReLU-3,1.0
247,alexnet,ReLU-3,1.0
248,alexnet,ReLU-3,1.0
249,alexnet,ReLU-3,1.0
250,alexnet,ReLU-3,1.0
251,alexnet,ReLU-3,0.75
252,alexnet,ReLU-3,1.0
253,alexnet,ReLU-3,0.75
254,alexnet,ReLU-3,1.0
255,alexnet,ReLU-3,1.0
256,alexnet,ReLU-3,0.75
257,alexnet,ReLU-3,0.75
258,alexnet,ReLU-3,1.0
259,alexnet,ReLU-3,1.0
260,alexnet,ReLU-3,1.0
261,alexnet,ReLU-3,1.0
262,alexnet,ReLU-3,1.0
263,alexnet,ReLU-3,1.0
264,alexnet,ReLU-3,1.0
265,alexnet,ReLU-3,1.0
266,alexnet,ReLU-3,1.0
267,alexnet,ReLU-3,1.0
268,alexnet,ReLU-3,1.0
269,alexnet,ReLU-3,1.0
270,alexnet,ReLU-3,1.0
271,alexnet,ReLU-3,1.0
272,alexnet,ReLU-3,1.0
273,alexnet,ReLU-3,1.0
274,alexnet,ReLU-3,1.0
275,alexnet,ReLU-3,1.0
276,alexnet,ReLU-3,1.0
277,alexnet,ReLU-3,1.0
278,alexnet,ReLU-3,1.0
279,alexnet,ReLU-3,1.0
280,alexnet,ReLU-3,1.0
281,alexnet,ReLU-3,1.0
282,alexnet,ReLU-3,1.0
283,alexnet,ReLU-3,1.0
284,alexnet,ReLU-3,0.75
285,alexnet,ReLU-3,1.0
286,alexnet,ReLU-3,1.0
287,alexnet,ReLU-3,1.0
288,alexnet,ReLU-3,1.0
289,alexnet,ReLU-3,1.0
290,alexnet,ReLU-3,1.0
291,alexnet,ReLU-3,1.0
292,alexnet,ReLU-3,0.75
293,alexnet,ReLU-3,1.0
294,alexnet,ReLU-3,0.75
295,alexnet,ReLU-3,1.0
296,alexnet,ReLU-3,0.75
297,alexnet,ReLU-3,0.75
